variety,variety_trim,alternate,breeder,color,crop,type,number,release_year,technology,
10X003RW,10X003RW,KKS 8403 R,Klein Karoo Seed Marketing,White,Zea mays,GM,A 20143462,20140822,RW,0
12W0361,12W0361,,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20163860,20160913,0,0
13W0023,13W0023,KKS 8423,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20163861,20160913,0,0
13W0024,13W0024,KKS 8427,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20163862,20160913,0,0
13W0708,13W0708,,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20184168,20181005,0,0
13Y1191,13Y1191,,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20174030,20171010,0,0
14W0030,14W0030,,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20184169,20181005,0,0
15W0050,15W0050,,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20184170,20181005,0,0
15W0053 R,15W0053R,,Klein Karoo Seed Marketing,White,Zea mays,GM,A 20194294,20190912,R,R
15W0055,15W0055,KKS 8555 R,Klein Karoo Seed Marketing,White,Zea mays,GM,A 20184153,20180816,55,0
15W0074,15W0074,,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20184171,20181005,0,0
15Y1208 B,15Y1208B,KKS 8418 B,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20194256,20190912,B,B
3X23B144WY,3X23B144WY,,Klein Karoo Seed Marketing,White,Zea mays,HB,,,0,0
3X28B174WYB,3X28B174WYB,,Klein Karoo Seed Marketing,White,Zea mays,GM,,,B,B
AF94894946W BR,AF94894946WBR,P2865W BR,Corteva Agriscience RSA,White,Zea mays,GM,A 20194283,20190912,BR,BR
AFG 4270 B,AFG4270B,KKS 4270 B,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20102767,20100806,B,B
AFG 4321,AFG4321,,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20052246,20051011,0,0
AFG 4383,AFG4383,KKS 4383,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20102790,20100908,0,0
AFG 4410,AFG4410,KKS 4410,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20042059,20040820,0,0
AFG 4412 B,AFG4412B,KKS 4412 B,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20062389,20060801,B,B
AFG 4414,AFG4414,KKS 4414,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20072485,20070801,0,0
AFG 4434 R,AFG4434R,KKS 4434 R,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20072487,20070801,R,R
AFG 4474 R,AFG4474R,KKS 4474 R,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20102762,20100806,R,R
AFG 4475 B,AFG4475B,,Klein Karoo Seed Marketing,White,Zea mays,GM,A 20082587,20080807,B,B
AFG 4476,AFG4476,KKS 4476,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20082617,20080731,0,0
AFG 4479 R,AFG4479R,KKS 4479 R,Klein Karoo Seed Marketing,White,Zea mays,GM,A20082589,20080807,R,R
AFG 4517,AFG4517,KKS 4517,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20052251,20051011,0,0
AFG 4520,AFG4520,KKS 4520,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20042064,20040820,0,0
AFG 4522 B,AFG4522B,KKS 4522 B,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20062392,20060801,B,B
AFG 4530,AFG4530,KKS 4530,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20052237,20051011,0,0
AFG 4540,AFG4540,KKS 4540,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20042065,20040820,0,0
AFG 4555,AFG4555,KKS 4555,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20072494,20070801,0,0
AFG 4572 R,AFG4572R,KKS 4572 R,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20102763,20100806,R,R
AFG 4573 B,AFG4573B,KKS 4573 B,Klein Karoo Seed Marketing,White,Zea mays,GM,A20082591,20080807,B,B
AFG 4577 B,AFG4577B,KKS 4577 B,Klein Karoo Seed Marketing,White,Zea mays,GM,A20082593,20080807,B,B
AFG 4581 BR,AFG4581BR,KKS 4581 BR,Klein Karoo Seed Marketing,White,Zea mays,GM,A 20102732,20100521,BR,BR
AFG 4611,AFG4611,,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20072495,20070801,0,0
AFG 4663,AFG4663,,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20072496,20070801,0,0
Afric 1,Afric1,,Klein Karoo Seed Marketing,White,Zea mays,OP,A 20031863,20030710,0,0
Afric Red,AfricRed,,Nelson Genetics/KKSM,Yellow,Zea mays,OP,A 20133306,20130912,0,0
Amber,Amber,,Delta Seed,Yellow,Zea mays,HB,A 20031897,20030707,0,0
APEX,APEX,,Quality Seed,Yellow,Zea mays,HB,A 20194307,20191007,0,0
AS01MW,AS01MW,,Agri-Seed & Technologies,White,Zea mays,HB,A 20174045,20171016,0,0
AS03MW,AS03MW,,Agri-Seed & Technologies,White,Zea mays,HB,A 20174046,20171016,0,0
Banana,Banana,Revolution,Nelson Genetics/Agricol,White,Zea mays,HB,A 20123087,20120724,0,0
BG 3268,BG3268,P 1395,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20133311,20130912,0,0
BG 3292,BG3292,PHB 32D78,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20123160,20120814,0,0
BG 3492 B,BG3492B,PHB 3X6H922 T B,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20102771,20100816,B,B
BG 3568 R,BG3568R,P 1395R R,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123170,20120814,R,R
BG 3592 R,BG3592R,PHB 32D77 R,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123178,20120814,R,R
BG 3768 BR,BG3768BR,P 1395YR BR,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123171,20120814,BR,BR
BG 3792 BR,BG3792BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20143480,20140822,BR,BR
BG 4201,BG4201,,Corteva Agriscience RSA,White,Zea mays,HB,A 20123098,20120724,0,0
BG 4296,BG4296,PHB 3X6F695,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20102812,20100907,0,0
BG 4401 B,BG4401B,,Corteva Agriscience RSA,White,Zea mays,GM,A 20112954,20110729,B,B
BG 5285,BG5285,PAN 5285,Corteva Agriscience RSA,White,Zea mays,HB,A 20123105,20120724,0,0
BG 5485 B,BG5485B,,Corteva Agriscience RSA,White,Zea mays,GM,A 20112956,20110729,B,B
BG 5685 R,BG5685R,PAN 5685 R,Corteva Agriscience RSA,White,Zea mays,GM,A 20112958,20110729,R,R
BG 5785 BR,BG5785BR,,Corteva Agriscience RSA,White,Zea mays,GM,A 20143463,20140822,BR,BR
BG 6283,BG6283,,Corteva Agriscience RSA,White,Zea mays,HB,A 20123103,20120724,0,0
BG 6308 B,BG6308B,PHB 3SA50154084B,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20143481,20140822,B,B
BG 6683 R,BG6683R,,Corteva Agriscience RSA,White,Zea mays,GM,A 20112957,20110729,R,R
Border King,BorderKing,,,White,Zea mays,OP,,Voluntary on list,0,0
Border King NI/05,BorderKingNI/05,,Northern Seed Producers,White,Zea mays,OP,A 20052217,20050818,0,0
CAP 121-30,CAP121-30,,Capstone Seeds,Yellow,Zea mays,HB,A 20042055,20040820,0,0
CAP 122-60,CAP122-60,,Capstone Seeds,Yellow,Zea mays,HB,A 20133308,20130912,0,0
CAP 130-120,CAP130-120,,Capstone Seeds,Yellow,Zea mays,HB,A20123154,20120814,0,0
CAP 311,CAP311,,Capstone Seeds,White,Zea mays,OP,A 20042058,20040820,0,0
CAP 341 NG,CAP341NG,,Nelson Genetics/Capstone Seeds,White,Zea mays,HB,A 20021758,20020910,0,0
CAP 441 NG,CAP441NG,,Nelson Genetics/Capstone Seeds,White,Zea mays,HB,A 20052211,20050818,0,0
CAP 444 NG,CAP444NG,,Nelson Genetics/Capstone Seeds,Yellow,Zea mays,HB,A 20052210,20050818,0,0
CAP 766 NG,CAP766NG,,Nelson Genetics/Capstone Seeds,Yellow,Zea mays,HB,A 20042056,20040820,0,0
CAP 775 NG,CAP775NG,,Nelson Genetics/Capstone Seeds,White,Zea mays,HB,A 20052212,20050818,0,0
CAP 9001,CAP9001,,Capstone Seeds,White,Zea mays,HB,A 20062368,20060823,0,0
CAP 9004,CAP9004,,Nelson Genetics/Capstone Seeds,Yellow,Zea mays,HB,A 20123155,20120814,0,0
CAP 9006 QS,CAP9006QS,,Capstone Seeds,Yellow,Zea mays,HB QP,A 20133319,20130912,0,0
CAP 9013,CAP9013,,Capstone Seeds,White,Zea mays,HB,A 20123088,20120724,0,0
CAP 9021,CAP9021,,Capstone Seeds,White,Zea mays,HB,A 20163863,20160913,0,0
CAP 9301,CAP9301,,Capstone Seeds,White,Zea mays,HB,A 20163864,20160913,0,0
CAP 9303,CAP9303,,Capstone Seeds,White,Zea mays,HB,A 20163865,20160913,0,0
CAP 9305,CAP9305,,Capstone Seeds,White,Zea mays,HB,A 20163866,20160913,0,0
CAP 9401,CAP9401,,Nelson Genetics/Capstone Seeds,White,Zea mays,HB,A 20184172,20181005,0,0
CAP 9403,CAP9403,,Capstone Seeds,White,Zea mays,HB,A 20163867,20160913,0,0
CAP 9405,CAP9405,,Capstone Seeds,White,Zea mays,HB,A 20163868,20160913,0,0
CAP 9444 NG,CAP9444NG,,Nelson Genetics/Capstone Seeds,Yellow,Zea mays,HB,A 20133309,20130912,0,0
CAP 9501,CAP9501,,Capstone Seeds,White,Zea mays,HB,A 20163869,20160913,0,0
CG 4141,CG4141,,Bayer (Pty) Ltd,White,Zea mays,HB,,Voluntary on list,0,0
Chokchai 999,Chokchai999,,Lichtenburg Scrapyard,Yellow,Zea mays,HB,A 20123156,20120814,0,0
Colorado,Colorado,,AGT Foods Africa,Yellow,Zea mays,OP,A 20021754,20020910,0,0
CRN 3505,CRN3505,,Bayer (Pty) Ltd,White,Zea mays,HB,A 20011637,20010925,0,0
CRN 3604,CRN3604,,Bayer (Pty) Ltd,Yellow,Zea mays,HB,A 981148,19980701,0,0
DAS 2A120,DAS2A120,,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20163835,20160908,0,0
DAS 2B587,DAS2B587,,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20163836,20160908,0,0
DE 111,DE111,,Delta Seed,White,Zea mays,HB,A 20123090,20120724,0,0
DE 2004,DE2004,,Wickens Investments,Yellow,Zea mays,HB,A 20062343,20060801,0,0
DE 2006,DE2006,,Delta Seed,Yellow,Zea mays,HB,A 20082639,20080731,0,0
DE 2016,DE2016,,Delta Seed,Yellow,Zea mays,HB,A 20133310,20130912,0,0
DE 222,DE222,,Delta Seed,Yellow,Zea mays,HB,A 20112968,20110805,0,0
DE 270,DE270,,Delta Seed,Yellow,Zea mays,HB,A 20143506,20141002,0,0
DE 303,DE303,,Delta Seed,White,Zea mays,HB,A 20133347,20130930,0,0
DE 308,DE308,,Delta Seed,Yellow,Zea mays,HB,A 20194308,20191007,0,0
DE 375,DE375,,Delta Seed,White,Zea mays,HB,A20123091,20120724,0,0
DK8031,DK8031,,Bayer (Pty) Ltd,White,Zea mays,HB,A 20072501,20070801,0,0
DKC2147,DKC2147,SNK 2147,Bayer (Pty) Ltd,White,Zea mays,HB,,Voluntary on list,0,0
DKC60-76BR,DKC60-76BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,,,BR,BR
DKC61-90,DKC61-90,,Bayer (Pty) Ltd,Yellow,Zea mays,,,,0,0
DKC61-94 BR,DKC61-94BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20123165,20120814,BR,BR
DKC62-80 BR,DKC62-80BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20102860,20100816,BR,BR
DKC62-84 R,DKC62-84R,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20102861,20100816,R,R
DKC63-53,DKC63-53,,Bayer (Pty) Ltd,White,Zea mays,HB,A 20163870,20160913,0,0
DKC64-46 BR,DKC64-46BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20153637,20150728,BR,BR
DKC64-54 BR,DKC64-54BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20163793,20160726,BR,BR
DKC64-78 BR,DKC64-78BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A20102862,20100816,BR,BR
DKC65-52 BR,DKC65-52BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20163789,20160726,BR,BR
DKC65-60 BR,DKC65-60BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20174008,20170828,BR,BR
DKC66-36 R,DKC66-36R,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20042052,20040820,R,R
DKC66-60B,DKC66-60B,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,,,B,B
DKC66-60BR,DKC66-60BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,,,BR,BR
DKC68-50,DKC68-50,,Bayer (Pty) Ltd,Yellow,Zea mays,HB,A 20174031,20171010,0,0
DKC68-54 B,DKC68-54B,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20174019,20170828,B,B
DKC68-56 R,DKC68-56R,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20163790,20160726,R,R
DKC68-58 BR,DKC68-58BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20163791,20160726,BR,BR
DKC68-86 BR,DKC68-86BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20143482,20140822,BR,BR
DKC71-42,DKC71-42,,Bayer (Pty) Ltd,Yellow,Zea mays,HB,A 20163837,20160908,0,0
DKC71-44 B,DKC71-44B,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20163792,20160726,B,B
DKC72-70,DKC72-70,,Bayer (Pty) Ltd,Yellow,Zea mays,HB,A 20184188,20181108,0,0
DKC72-72 B,DKC72-72B,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20184147,20180816,B,B
DKC72-74 R,DKC72-74R,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20184146,20180816,R,R
DKC72-76 BR,DKC72-76BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20184148,20180816,BR,BR
DKC73-70 B,DKC73-70B,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20112987,20110805,B,B
DKC73-72,DKC73-72,,Bayer (Pty) Ltd,Yellow,Zea mays,HB,A 20102779,20100907,0,0
DKC73-74 BR,DKC73-74BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20082615,20080731,BR,BR
DKC73-76 R,DKC73-76R,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20082616,20080731,R,R
DKC74-20,DKC74-20,,Bayer (Pty) Ltd,Yellow,Zea mays,HB,A 20174032,20174032,0,0
DKC74-24 B,DKC74-24B,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20174020,20170828,B,B
DKC74-26 R,DKC74-26R,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20133320,20130912,R,R
DKC74-74 BR,DKC74-74BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20143483,20140822,BR,BR
DKC75-65 BR,DKC75-65BR,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20173978,20170824,BR,BR
DKC76-61 B,DKC76-61B,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20163767,20160726,B,B
DKC76-67 BR,DKC76-67BR,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20173979,20170824,BR,BR
DKC76-73 R,DKC76-73R,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20184154,20180816,R,R
DKC76-75 B,DKC76-75B,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20204379,20201208,B,B
DKC76-77 BR,DKC76-77BR,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20184155,20180816,BR,BR
DKC77-61B,DKC77-61B,,Bayer (Pty) Ltd,White,Zea mays,GM,,,B,B
DKC77-77 BR,DKC77-77BR,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20123121,20120807,BR,BR
DKC77-85 B,DKC77-85B,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20112947,20110729,B,B
DKC78-15B,DKC78-15B,,Bayer (Pty) Ltd,White,Zea mays,GM,,,B,B
DKC78-17 B,DKC78-17B,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20123122 ,20120807,B,B
DKC78-27,DKC78-27,,Bayer (Pty) Ltd,White,Zea mays,HB,A 20133348,20130930,0,0
DKC78-35 R,DKC78-35R,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20042054,20040820,R,R
DKC78-45 BR,DKC78-45BR,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20072418,20070205,BR,BR
DKC78-49 BR,DKC78-49BR,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20072419,20070205,BR,BR
DKC78-79 BR,DKC78-79BR,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20123123,20120807,BR,BR
DKC78-83 R,DKC78-83R,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20102856,20100521,R,R
DKC78-87 B,DKC78-87B,,Bayer (Pty) Ltd,White,Zea mays,GM,A 20123124,20120807,B,B
DKC80-10,DKC80-10,,Bayer (Pty) Ltd,Yellow,Zea mays,HB,A 20021703,20020707,0,0
DKC80-12 B,DKC80-12B,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20041968,20040226,B,B
DKC80-30 R,DKC80-30R,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20042053,20040820,R,R
DKC80-33,DKC80-33,,Bayer (Pty) Ltd,White,Zea mays,HB,A 20072502,20070801,0,0
DKC80-40 BR,DKC80-40BR,,Bayer (Pty) Ltd,Yellow,Zea mays,GM,A 20072417,20070205,BR,BR
DKC80-53,DKC80-53,,Bayer (Pty) Ltd,White,Zea mays,HB,A 20133349,20130930,0,0
DKC90-53,DKC90-53,,Bayer (Pty) Ltd,White,Zea mays,HB,A 20133351,20130930,0,0
DKC90-89,DKC90-89,,Bayer (Pty) Ltd,White,Zea mays,HB,A 20133350,20130930,0,0
EGEAN,EGEAN,,Quality Seed,Yellow,Zea mays,HB,A 20194309,20191007,0,0
ES Valerio,ESValerio,,Bayer (Pty) Ltd,Yellow,Zea mays,HB,A 20112969,20110805,0,0
GW3436,GW3436,,Quality Seed,Yellow,Zea mays,HB,A 20194310,20191007,0,0
GW4627,GW4627,,Quality Seed,Yellow,Zea mays,HB,A 20194311,20191007,0,0
HX11,HX11,,Hylix Genetics,White,Zea mays,HB,A 20174047,20171016,0,0
HX22,HX22,,Hylix Genetics,Yellow,Zea mays,HB,A 20174033,20171010,0,0
IMP50-10B,IMP50-10B,,Corteva Agriscience RSA,yellow,Zea mays,GM,,,B,B
IMP 50-10 BR,IMP50-10BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20143484,20140822,BR,BR
IMP 50-10 R,IMP50-10R,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20112961,20110805,R,R
IMP 50-90 BR,IMP50-90BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20082645,20080731,BR,BR
IMP 51-22 B,IMP51-22B,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20112962,20110805,B,B
IMP 51-22 BR,IMP51-22BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20174009,20170828,BR,BR
IMP 51-92 R,IMP51-92R,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20112963,20110805,R,R
IMP 52-11,IMP52-11,,Corteva Agriscience RSA,White,Zea mays,HB,A 20072474,20070801,0,0
IMP 52-11 B,IMP52-11B,PHB 3X23B142WY B,Corteva Agriscience RSA,White,Zea mays,GM,A 20133286,20130808,B,B
IMP 52-11 R,IMP52-11R,,Corteva Agriscience RSA,White,Zea mays,GM,A 20143465,20140822,R,R
IMP 52-12,IMP52-12,PHB 3X18A306,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20112978,20110805,0,0
IMP 52-12 BR,IMP52-12BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20174010,20170828,BR,BR
IMP 52-12 R,IMP52-12R,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20163794,20160726,R,R
IMP53-01,IMP53-01,,Corteva Agriscience RSA,White,Zea mays,HB,,,0,0
IMP53-03,IMP53-03,,Corteva Agriscience RSA,White,Zea mays,HB,,,0,0
IMP53-04,IMP53-04,,Corteva Agriscience RSA,Yellow,Zea mays,HB,,,0,0
IMP 53-13,IMP53-13,,Corteva Agriscience RSA,White,Zea mays,HB,A 20123096,20120724,0,0
IMP53-49B,IMP53-49B,,Corteva Agriscience RSA,White,Zea mays,GM,,,B,B
IMP 53-49 BR,IMP53-49BR,,Corteva Agriscience RSA,White,Zea mays,GM,A 20173980,20170824,BR,BR
IMP 53-49 R,IMP53-49R,,Corteva Agriscience RSA,White,Zea mays,GM,A 20174002,20170824,R,R
IMP53-77BR,IMP53-77BR,,Corteva Agriscience RSA,White,Zea mays,GM,,,BR,BR
JEMAT 301,JEMAT301,,Jermart Seeds,White,Zea mays,HB,A 20163871,20160913,0,0
JEMAT 401,JEMAT401,,Jermart Seeds,White,Zea mays,HB,A 20163872,20160913,0,0
JEMAT 501,JEMAT501,,Jermart Seeds,White,Zea mays,HB,A 20153673,20151016,0,0
JEMAT 601Q,JEMAT601Q,,Jermart Seeds,White,Zea mays,HB QP,A 20153674,20151016,0,0
Kalahari Early Pearl SELECT,KalahariEarlyPearlSELECT,,Capstone Seeds,White,Zea mays,OP,A 20062366,20060801,0,0
Kep,Kep,,Wickens Investments,White,Zea mays,OP,A 20062342,20060801,0,0
Kgalagadi,Kgalagadi,,Dr AP Fourie,White,Zea mays,HB,A 20072512,20070801,0,0
KKS 4270 B,KKS4270B,AFG 4270 B,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20102767,20100806,B,B
KKS 4383,KKS4383,AFG 4383,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20102790,20100908,0,0
KKS 4410,KKS4410,AFG 4410,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20042059,20040820,0,0
KKS 4412 B,KKS4412B,AFG 4412 B,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20062389,20060801,B,B
KKS 4414,KKS4414,AFG 4414,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20072485,20070801,0,0
KKS 4434 R,KKS4434R,AFG 4434 R,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20072487,20070801,R,R
KKS4452B,KKS4452B,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,,,B,B
KKS 4474 R,KKS4474R,AFG 4474 R,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20102762,20100806,R,R
KKS 4476,KKS4476,AFG 4476,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20082617,20080731,0,0
KKS 4479 R,KKS4479R,AFG 4479 R,Klein Karoo Seed Marketing,White,Zea mays,GM,A20082589,20080807,R,R
KKS 4517,KKS4517,AFG 4517,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20052251,20051011,0,0
KKS 4520,KKS4520,AFG 4520,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20042064,20040820,0,0
KKS 4522 B,KKS4522B,AFG 4522 B,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20062392,20060801,B,B
KKS 4530,KKS4530,AFG 4530,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20052237,20051011,0,0
KKS 4540,KKS4540,AFG 4540,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20042065,20040820,0,0
KKS 4555,KKS4555,AFG 4555,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20072494,20070801,0,0
KKS 4572 R,KKS4572R,AFG 4572 R,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20102763,20100806,R,R
KKS 4573 B,KKS4573B,AFG 4573 B,Klein Karoo Seed Marketing,White,Zea mays,GM,A20082591,20080807,B,B
KKS 4577 B,KKS4577B,AFG 4577 B,Klein Karoo Seed Marketing,White,Zea mays,GM,A20082593,20080807,B,B
KKS 4581 BR,KKS4581BR,AFG 4581 BR,Klein Karoo Seed Marketing,White,Zea mays,GM,A 20102732,20100521,BR,BR
KKS 8200,KKS8200,,Klein Karoo Seed Marketing,Yellow,Zea mays,HB,A 20011603,20010926,0,0
KKS 8214 R,KKS8214R,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20133321,20130912,R,R
KKS 8216 BR,KKS8216BR,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20133322,20130912,BR,BR
KKS8301,KKS8301,,Klein Karoo Seed Marketing,White,Zea mays,HB,,,0,0
KKS8301B,KKS8301B,,Klein Karoo Seed Marketing,White,Zea mays,GM,,,B,B
KKS 8326,KKS8326,,Syngenta SA,Yellow,Zea mays,HB,A 20184191,20181108,0,0
