variety,variety_trim,alternate,breeder,color,crop,type,number,release_year,technology,
KKS 8326 B,KKS8326B,KKS 8426 B,Syngenta SA,Yellow,Zea mays,GM,A 20153638,20150728,B,B
KKS8328B,KKS8328B,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,,,B,B
KKS8330B,KKS8330B,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,,,B,B
KKS 8403 R,KKS8403R,10X003RW,Klein Karoo Seed Marketing,White,Zea mays,GM,A 20143462,20140822,R,R
KKS8406B,KKS8406B,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,,,B,B
KKS 8408 R,KKS8408R,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20143486,20140822,R,R
KKS 8410 BR ,KKS8410BR,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20143487,20140822,R,R
KKS 8418 B,KKS8418B,15Y1208 B,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20194256,20190912,B,B
KKS 8422 B,KKS8422B,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20194257,20190912,B,B
KKS 8423,KKS8423,13W0023,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20163861,20160913,0,0
KKS 8424 B,KKS8424B,,Klein Karoo Seed Marketing,Yellow,Zea mays,GM,A 20123166,20120814,B,B
KKS 8426 B,KKS8426B,KKS 8326 B,Syngenta SA,Yellow,Zea mays,GM,A 20153638,20150728,B,B
KKS 8427,KKS8427,13W0024,Klein Karoo Seed Marketing,White,Zea mays,HB,A 20163862,20160913,0,0
KKS 8555 R,KKS8555R,15W0055,Klein Karoo Seed Marketing,White,Zea mays,GM,A 20184153,20180816,R,R
KORDUNA,KORDUNA,,Quality Seed,Yellow,Zea mays,HB,A 20194312,20191007,0,0
KP-11,KP-11,,Erdzak Pty Ltd,Yellow,Zea mays,HB,A 20163838,20160908,0,0
LAKE 601,LAKE601,,Lake Agriculture,White,Zea mays,HB,A 20163873,20160913,0,0
LAKE 603,LAKE603,,Lake Agriculture,White,Zea mays,HB,A 20163874,20160913,0,0
LAKE 606,LAKE606,,Lake Agriculture,Yellow,Zea mays,HB,A 20194313,20191007,0,0
LG31.642 R,LG31.642R,,Link Seed,Yellow,Zea mays,GM,A 20184144,20180816,R,R
LG31.644 R,LG31.644R,,Link Seed,Yellow,Zea mays,GM,A 20184145,20180816,R,R
LG31.743,LG31.743,,Link Seed,White,Zea mays,HB,,,0,0
LG31.746,LG31.746,,Link Seed,Yellow,Zea mays,HB,A 20184187,20181108,0,0
LG3607,LG3607,,Link Seed,White,Zea mays,HB,,,0,0
LG3607Y,LG3607Y,,Link Seed,Yellow,Zea mays,HB,,,0,0
LG 3607 Yellow,LG3607Yellow,PAN 3Q-294,Link Seed,Yellow,Zea mays,HB,A 20102798,20100907,0,0
LS8504,LS8504,,Link Seed,Yellow,Zea mays,HB,,,0,0
LS8512,LS8512,,Link Seed,Yellow,Zea mays,HB,,,0,0
LS 8518,LS8518,,Link Seed,Yellow,Zea mays,HB,A 20102820,20100816,0,0
LS8519,LS8519,,Link Seed,White,Zea mays,HB,,,0,0
LS8521B,LS8521B,,Link Seed,White,Zea mays,GM,,,B,B
LS8522R,LS8522R,,Link Seed,Yellow,Zea mays,GM,,,R,R
LS8524R,LS8524R,,Link Seed,Yellow,Zea mays,GM,,,R,R
LS 8526,LS8526,,Link Seed,Yellow,Zea mays,HB,A 20112970,20110805,0,0
LS8527BR,LS8527BR,,Link Seed,White,Zea mays,GM,,,BR,BR
LS8528R,LS8528R,,Link Seed,Yellow,Zea mays,GM,,,R,R
LS8529,LS8529,,Link Seed,White,Zea mays,HB,,,0,0
LS8533R,LS8533R,,Link Seed,White,Zea mays,GM,,,R,R
LS8535B,LS8535B,,Link Seed,Yellow,Zea mays,GM,,,B,B
LS 8536 B,LS8536B,,Link Seed,Yellow,Zea mays,GM,A 20133325,20130912,B,B
LS8537,LS8537,,Link Seed,White,Zea mays,HB,,,0,0
LS 8538 R,LS8538R,,Link Seed,Yellow,Zea mays,GM,A 20153639,20150728,R,R
LS8539B,LS8539B,,Link Seed,White,Zea mays,GM,,,B,B
LS 8541 BR,LS8541BR,,Link Seed,White,Zea mays,GM,A 20153600,20150716,BR,BR
LS 8542,LS8542,,Link Seed,Yellow,Zea mays,HB,A 20174034,20171010,0,0
LS 8544,LS8544,,Link Seed,Yellow,Zea mays,HB,A 20174035,20171010,0,0
Mac Medium Pearl,MacMediumPearl,,McDonalds Seeds,White,Zea mays,OP,A 92268,19920930,0,0
Matuba SELECT,MatubaSELECT,,Capstone Seeds,White,Zea mays,OP,A 20062367,20060801,0,0
MEH 114,MEH114,,Mahyco,Yellow,Zea mays,HB,A 981181,19980701,0,0
MMH 1765,MMH1765,,Mahyco,Yellow,Zea mays,HB,A 981182,19980701,0,0
MMH 8825,MMH8825,,Mahyco,Yellow,Zea mays,HB,A 981179,19980701,0,0
MX124,MX124,,Maxim Seed,Yellow,Zea mays,HB,A 20143507,20141002,0,0
MX165,MX165,,Maxim Seed,White,Zea mays,HB,A 20174048,20171016,0,0
MX404,MX404,,Maxim Seed,Yellow,Zea mays,HB,A 20174036,20171010,0,0
Nelson's Choice,Nelson'sChoice,,Nelson Genetics/Capstone Seeds,White,Zea mays,OP,A 20031841,20030710,0,0
Nelson's Choice QPM,Nelson'sChoiceQPM,,Nelson Genetics/Capstone Seeds,White,Zea mays,OP QP,A 20123085,20120724,0,0
Nelson's Choice Yellow,Nelson'sChoiceYellow,,Nelson Genetics/Capstone Seeds,Yellow,Zea mays,OP,A 20123157,20120814,0,0
Nevada,Nevada,,Direct Seed,White,Zea mays,OP,A 20021755,20020910,0,0
NMMH 27,NMMH27,,One Direction Solutions,White,Zea mays,HB,A 20143493,20140930,0,0
NS 5916,NS5916,,National Seed,Yellow,Zea mays,HB,A 20042067,20040820,0,0
NS 5919,NS5919,,National Seed,White,Zea mays,OP,A 20052216,20050818,0,0
Obatanpa SR,ObatanpaSR,,ARC GCI,White,Zea mays,OP QP,A 20062372,20060801,0,0
Okavango,Okavango,,Capstone Seeds,Yellow,Zea mays,OP,A 20031898,20030707,0,0
Okavango Flint,OkavangoFlint,,Capstone Seeds,Yellow,Zea mays,OP,A20123158,20120814,0,0
P1151R R,P1151RR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20133326,20130912,R,R
P1184,P1184,,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20112971,20110805,0,0
P1184 B,P1184B,P 1184Y B,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123169,20120814,B,B
P1184 BR,P1184BR,PHB 3SA42703956 BR,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20133337,20130912,BR,BR
P1184 R,P1184R,P 1184 R R,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123168,20120814,R,R
P 1184 R R,P1184RR,P1184 R,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123168,20120814,R,R
P 1184Y B,P1184YB,P1184 B,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123169,20120814,B,B
P1184YR,P1184YR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,,,R,R
P1197,P1197,,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20194314,20191007,0,0
P1197 R,P1197R,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20194258,20190912,R,R
P1257,P1257,X08D413,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20194316,20191007,0,0
P1257 R,P1257R,X08D413 R,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20194272,20190912,R,R
P 1319,P1319,VP 8208,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20153664,20150916,0,0
P 1395,P1395,BG 3268,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20133311,20130912,0,0
P 1395R R,P1395RR,BG 3568 R,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123170,20120814,R,R
P 1395YR BR,P1395YRBR,BG 3768 BR,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123171,20120814,BR,BR
P 1477W,P1477W,PAN 3A-173,Corteva Agriscience RSA,White,Zea mays,HB,A 20153675,20151016,0,0
P1486 B,P1486B,PHB 3X13C816Y B,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20133341,20130912,B,B
P1498R R,P1498RR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20133327,20130912,R,R
P1513,P1513,X13K598,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20194317,20191007,0,0
P1513 R,P1513R,X13K598 R,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20194259,20190912,R,R
P1517W,P1517W,,Corteva Agriscience RSA,White,Zea mays,HB,A20123097,20120724,0,0
P1517W BR,P1517WBR,,Corteva Agriscience RSA,White,Zea mays,GM,A 20163768,20160726,BR,BR
P1517W R,P1517WR,,Corteva Agriscience RSA,White,Zea mays,GM,A 20163769,20160726,R,R
P1518W BR,P1518WBR,X13A502W BR,Corteva Agriscience RSA,White,Zea mays,GM,A 20194285,20190912,BR,BR
P1615,P1615,,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20123159,20120814,0,0
P1615 BR,P1615BR,P 1615YR BR,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123172,20120814,BR,BR
P1615 R,P1615R,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20102768,20100816,R,R
P 1615YR BR,P1615YRBR,P1615 BR,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123172,20120814,BR,BR
P1637 BR,P1637BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20163795,20160726,BR,BR
P1637 R,P1637R,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20153640,20150728,R,R
P1659W,P1659W,,Corteva Agriscience RSA,White,Zea mays,HB,A 20153676,20151016,0,0
P1690 BR,P1690BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20174011,20170828,BR,BR
P1690 R,P1690R,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20153641,20150728,R,R
P1745,P1745,,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20163839,20160908,0,0
P1745 B,P1745B,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20163796,20160726,B,B
P1745 BR,P1745BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20174012,20170828,BR,BR
P1745 R,P1745R,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20153642,20150728,R,R
P1788,P1788,X18F8831,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20184179,20181108,0,0
P1788 B,P1788B,X18F883 B,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20194273,20190912,B,B
P1788 BR,P1788BR,X18F883 BR,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20194274,20190912,BR,BR
P1788 R,P1788R,X18F883 R,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20194275,20190912,R,R
P1814,P1814,PHB 3SA88214805,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20153666,20150916,0,0
P1814 BR,P1814BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20194260,20190912,BR,BR
P1814 R,P1814R,PHB 3X18A655R,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20153661,20150728,R,R
P1973 B,P1973B,PHB 3X7F761T B,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123189,20120814,B,B
P1973Y,P1973Y,,Corteva Agriscience RSA,Yellow,Zea mays,HB,,,0,0
P1975,P1975,X18N939,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20194319,20191007,0,0
P2048,P2048,PHB 3X7F795,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20102828,20100907,0,0
P2048 B,P2048B,P 2048Y B,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123173,20120814,B,B
P2048 BR,P2048BR,P 2048YR  BR,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123174,20120814,BR,BR
P 2048Y B,P2048YB,P2048 B,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123173,20120814,B,B
P 2048YR  BR,P2048YRBR,P2048 BR,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123174,20120814,BR,BR
P2137,P2137,,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20163840,20160908,0,0
P2137 B,P2137B,PHB 3X23B151Y B,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20133344,20130912,B,B
P2137 BR,P2137BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20194261,20190912,BR,BR
P2137 R,P2137R,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20184149,20180816,R,R
P2137Y,P2137Y,,Corteva Agriscience RSA,Yellow,Zea mays,HB,,,0,0
P2311W B,P2311WB,PHB X80407777W B,Corteva Agriscience RSA,White,Zea mays,GM,A 20163785,20160726,B,B
P2311W BR,P2311WBR,PAN 5Q-651 BR,Corteva Agriscience RSA,White,Zea mays,GM,A 20153608,20150716,BR,BR
P2319,P2319,PHB X23H518,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20163854,20160908,0,0
P2319 B,P2319B,PHB X23H518 B,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20163806,20160726,B,B
P2319 BR,P2319BR,X23H518 BR,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20194262,20190912,BR,BR
P2319 R,P2319R,X23H518 R,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20174029,20170828,R,R
P2367,P2367,X23H517,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20174043,20171010,0,0
P2369W,P2369W,,Corteva Agriscience RSA,White,Zea mays,HB,A20102786,20100908,0,0
P2369W B,P2369WB,P 2369WY B,Corteva Agriscience RSA,White,Zea mays,GM,A 20123127,20120807,B,B
P2369W BR,P2369WBR,,Corteva Agriscience RSA,White,Zea mays,GM,A 20173981,20170824,BR,BR
P2369WY,P2369WY,,Corteva Agriscience RSA,Yellow,Zea mays,HB,,,0,0
P 2369WY B,P2369WYB,P2369W B,Corteva Agriscience RSA,White,Zea mays,GM,A 20123127,20120807,B,B
P2370,P2370,X23F442,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20174042,20171010,0,0
P2370 B,P2370B,PHB X23F442 B,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20163804,20160726,B,B
P2370Y,P2370Y,,Corteva Agriscience RSA,Yellow,Zea mays,HB,,,0,0
P2432,P2432,,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20163841,20160908,0,0
P2432 BR,P2432BR,X23B148 BR,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20194263,20190912,BR,BR
P2432 R,P2432R,PHB 3X23B148R R,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20123188,20120814,R,R
P 2452W R,P2452WR,PAN 4R-511 R,Corteva Agriscience RSA,White,Zea mays,GM,A 20143467,20140822,R,R
P2531W R,P2531WR,X18K290W R,Corteva Agriscience RSA,White,Zea mays,GM,A 20194296,20190912,R,R
P2553W B,P2553WB,PHB 3SA88214804 B,Corteva Agriscience RSA,White,Zea mays,GM,A 20163777,20160726,B,B
P2553W BR,P2553WBR,,Corteva Agriscience RSA,White,Zea mays,GM,A 20173982,20170824,BR,BR
P2553W R,P2553WR,PHB X23F438W R,Corteva Agriscience RSA,White,Zea mays,GM,A 20163787,20160726,R,R
P2553WY,P2553WY,,Corteva Agriscience RSA,Yellow,Zea mays,HB,,,0,0
P2553WYR,P2553WYR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,,,R,R
P2555W B,P2555WB,X23F438W B,Corteva Agriscience RSA,White,Zea mays,GM,A 20194290,20190912,B,B
P2555W BR,P2555WBR,X23F438W BR,Corteva Agriscience RSA,White,Zea mays,GM,A 20194286,20190912,BR,BR
P2565W B,P2565WB,X25K091W B,Corteva Agriscience RSA,White,Zea mays,GM,A 20194291,20190912,B,B
P2612,P2612,PHB 3X8C152,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20102814,20100907,0,0
P2636,P2636,X25N216,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20194322,20191007,0,0
P2653 BR,P2653BR,PHB 3SA42130899 BR,Corteva Agriscience RSA,White,Zea mays,GM,A 20123139,20120807,BR,BR
P2653WBR,P2653WBR,,Corteva Agriscience RSA,White,Zea mays,GM,,,BR,BR
P2653W B,P2653WB,,Corteva Agriscience RSA,White,Zea mays,GM,A 20102726,20100521,B,B
P2707W BR,P2707WBR,PHB 3X28D299WYR BR,Corteva Agriscience RSA,White,Zea mays,GM,A 20143476,20140822,BR,BR
P2707WYR,P2707WYR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,,,R,R
P2823W B,P2823WB,,Corteva Agriscience RSA,White,Zea mays,GM,A 20102727,20100521,B,B
P2823W BR,P2823WBR,PHB 3X28C225YR BR,Corteva Agriscience RSA,White,Zea mays,GM,A 20143466,20140822,BR,BR
P2823W R,P2823WR,P 2823WR R,Corteva Agriscience RSA,White,Zea mays,GM,A 20123128,20120807,R,R
P 2823WR R,P2823WRR,P2823W R,Corteva Agriscience RSA,White,Zea mays,GM,A 20123128,20120807,R,R
P2842W,P2842W,PAN 6A-231,Corteva Agriscience RSA,White,Zea mays,HB,A 20133363,20130930,0,0
P2842W B,P2842WB,,Corteva Agriscience RSA,White,Zea mays,GM,A 20194287,20190912,B,B
P2859W,P2859W,,Corteva Agriscience RSA,White,Zea mays,HB,A 20133360,20130930,0,0
P2864W BR,P2864WBR,PHB 3SA88214401 BR,Corteva Agriscience RSA,White,Zea mays,GM,A 20153615,20150716,BR,BR
P2864W R,P2864WR,,Corteva Agriscience RSA,White,Zea mays,GM,A 20174003,20170824,R,R
P2864WYR,P2864WYR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,,,R,R
P2865W BR,P2865WBR,AF94894946W BR,Corteva Agriscience RSA,White,Zea mays,GM,A 20194283,20190912,BR,BR
P2880W BR,P2880WBR,PHB 3X28D308WYR BR,Corteva Agriscience RSA,White,Zea mays,GM,A 20153618,20150716,BR,BR
P2880WYR,P2880WYR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,,,R,R
P2927W R,P2927WR,X30K277W R,Corteva Agriscience RSA,White,Zea mays,GM,A 20184163,20180816,R,R
P2927WY R,P2927WYR,X30K277W BR,Corteva Agriscience RSA,White,Zea mays,GM,A 20173990,20170824,R,R
P2961W,P2961W,Phb 3X4C357 W,Corteva Agriscience RSA,White,Zea mays,HB,A20102785,20100908,0,0
P2961W B,P2961WB,PHB 3X28C224WY B,Corteva Agriscience RSA,White,Zea mays,GM,A 20133287,20130808,B,B
P2961W BR,P2961WBR,PHB 3SA42130906 BR,Corteva Agriscience RSA,White,Zea mays,GM,A 20133285,20130808,BR,BR
P2961WYR,P2961WYR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,,,R,R
P3052,P3052,PHB 3X8C155,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20102795,20100907,0,0
P3058W Y,P3058WY,PHB X28D297W B,Corteva Agriscience RSA,White,Zea mays,GM,A 20163781,20160726,Y,0
P3253W,P3253W,,Corteva Agriscience RSA,White,Zea mays,HB,A 20133358,20130930,0,0
P3812W,P3812W,,Corteva Agriscience RSA,White,Zea mays,HB,A 20133359,20130930,0,0
PAN 12,PAN12,,Pannar Seed,Yellow,Zea mays,HB,A 20133312,20130912,0,0
PAN 15,PAN15,,Pannar Seed,White,Zea mays,HB,A 20143494,20140930,0,0
PAN 3A-124,PAN3A-124,X13D102,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20194315,20191007,0,0
PAN 3A-157,PAN3A-157,PHB X5H301W,Corteva Agriscience RSA,White,Zea mays,HB,A 20163886,20160913,0,0
PAN 3A-173,PAN3A-173,P 1477W,Corteva Agriscience RSA,White,Zea mays,HB,A 20153675,20151016,0,0
PAN 3A-214,PAN3A-214,,Pannar Seed,Yellow,Zea mays,HB,A 20133313,20130912,0,0
PAN 3B-304 CB,PAN3B-304CB,,Pannar Seed,Yellow,Zea mays,GM,A 20133328,20130912,CB,0
PAN 3D-432 B,PAN3D-432B,,Pannar Seed,Yellow,Zea mays,GM,A 20052184,20050818,B,B
PAN 3D-736 BR,PAN3D-736BR,,Pannar Seed,Yellow,Zea mays,GM,A 20072421,20070327,BR,BR
PAN 3M-01,PAN3M-01,,Pannar Seed,White,Zea mays,HB,A 20143495,20140930,0,0
PAN 3P-502 R,PAN3P-502R,,Pannar Seed,Yellow,Zea mays,GM,A 20072484,20070801,R,R
PAN 3Q-222,PAN3Q-222,,Pannar Seed,Yellow,Zea mays,HB,A 20112973,20110805,0,0
PAN3Q-228,PAN3Q-228,,Pannar Seed,Yellow,Zea mays,HB,,,0,0
PAN3Q-236B,PAN3Q-236B,,Pannar Seed,Yellow,Zea mays,GM,,,B,B
PAN 3Q-240,PAN3Q-240,,Pannar Seed,Yellow,Zea mays,HB,A 20112975,20110805,0,0
PAN 3Q-294,PAN3Q-294,LG 3607 Yellow,Link Seed,Yellow,Zea mays,HB,A 20102798,20100907,0,0
PAN 3Q-422 B,PAN3Q-422B,,Pannar Seed,Yellow,Zea mays,GM,A 20082632,20080731,B,B
PAN3Q-704BR,PAN3Q-704BR,,Pannar Seed,Yellow,Zea mays,GM,,,BR,BR
PAN 3Q-740 BR,PAN3Q-740BR,,Pannar Seed,Yellow,Zea mays,GM,A 20082628,20080731,BR,BR
PAN3R-124,PAN3R-124,,Pannar Seed,Yellow,Zea mays,HB,,,0,0
PAN 3R-500 R,PAN3R-500R,X13D093 R,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20184150,20180816,R,R
PAN 3R-524 R,PAN3R-524R,X13D102 R,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20194264,20190912,R,R
PAN 3R-573 R,PAN3R-573R,,Corteva Agriscience RSA,White,Zea mays,GM,A 20194295,20190912,R,R
PAN 3R-586 R,PAN3R-586R,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20163797,20160726,R,R
PAN 3R-644 R,PAN3R-644R,,Pannar Seed,Yellow,Zea mays,GM,A 20102866,20100816,R,R
PAN 3R-700 BR,PAN3R-700BR,X13D093 BR,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20174017,20170828,BR,BR
PAN 3R-724 BR,PAN3R-724BR,X13D102 BR,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20174018,20170828,BR,BR
PAN 3R-786 BR,PAN3R-786BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20153643,20150728,BR,BR
PAN 3R-788 BR,PAN3R-788BR,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20153644,20150728,BR,BR
PAN 4A-111,PAN4A-111,PHB 3X23A012W,Corteva Agriscience RSA,White,Zea mays,HB,A20123099,20120724,0,0
PAN 4A-128,PAN4A-128,X13K591,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20184192,20181108,0,0
PAN 4A-156,PAN4A-156,PHB X18H674,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20163853,20160908,0,0
PAN 4A-158,PAN4A-158,,Pannar Seed,Yellow,Zea mays,HB,A 20143508,20141002,0,0
PAN 4A-159,PAN4A-159,PHB X18H665W,Corteva Agriscience RSA,White,Zea mays,HB,A 20163883,20160913,0,0
PAN 4A-160,PAN4A-160,,Pannar Seed,Yellow,Zea mays,HB,A 20143509,20141002,0,0
PAN 4A-169,PAN4A-169,,Pannar Seed,White,Zea mays,HB,A 20133361,20130930,0,0
PAN 4A-172,PAN4A-172,,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20163842,20160908,0,0
PAN 4A-178,PAN4A-178,,Corteva Agriscience RSA,Yellow,Zea mays,HB,A 20163843,20160908,0,0
PAN 4A-217,PAN4A-217,,Pannar Seed,White,Zea mays,HB,A 20133362,20130930,0,0
PAN 4A-220,PAN4A-220,,Pannar Seed,Yellow,Zea mays,HB,A 20133314,20130912,0,0
PAN 4A-243,PAN4A-243,,Pannar Seed,White,Zea mays,HB,A 20123117,20120724,0,0
PAN 4B-311 B,PAN4B-311B,PHB 3X23A012WY B,Corteva Agriscience RSA,White,Zea mays,GM,A 20123144,20120807,B,B
PAN 4B-312 CB,PAN4B-312CB,,Pannar Seed,Yellow,Zea mays,GM,A 20123175,20120814,CB,0
PAN 4B-328 B,PAN4B-328B,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20153645,20150728,B,B
PAN 4B-376 B,PAN4B-376B,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20163798,20160726,B,B
PAN 4B-440 CB,PAN4B-440CB,,Pannar Seed,Yellow,Zea mays,GM,A 20133329,20130912,CB,0
PAN 4B-472 B,PAN4B-472B,,Corteva Agriscience RSA,Yellow,Zea mays,GM,A 20194265,20190912,B,B
PAN 4M-17,PAN4M-17,,Pannar Seed,White,Zea mays,HB,A 20163875,20160913,0,0
